country,iso2,iso3,iso_numeric,g_whoregion,year,pulm_labconf_new,pulm_labconf_ret,pulm_labconf_unk,r_rlt_new,r_rlt_ret,rr_new,rr_ret,dst_rlt_new,dst_rlt_ret,dst_rlt_hr_new,dst_rlt_hr_ret,dst_rlt_rr_new,dst_rlt_rr_ret,mdr_new,mdr_ret,rr_dst_rlt,rr_ds_fq2li,rr_dr_fq,rr_dr_2li,rr_dr_fq_2li,mdr_dst_rlt,xdr,Pre
Albania,AL,ALB,8,EUR,2017,195,15,0,69,10,2,2,69,10,2,0,2,2,0,0,0,0,0,0,0,0,0,0
Argentina,AR,ARG,32,AMR,2017,5287,902,376,1077,585,30,91,1077,585,62,105,30,91,30,61,90,71,11,14,6,90,6,1
Armenia,AM,ARM,51,EUR,2017,326,128,0,320,108,51,48,320,108,79,52,51,48,40,41,98,58,20,33,13,81,13,1
Australia,AU,AUS,36,WPR,2017,745,34,1,688,26,13,6,669,25,58,9,13,6,12,6,17,15,1,1,0,16,0,0
Austria,AT,AUT,40,EUR,2017,293,16,76,262,15,11,3,262,15,26,2,11,3,11,2,13,6,3,6,2,13,2,1
Azerbaijan,AZ,AZE,31,EUR,2017,2023,2900,0,1973,2690,245,762,1328,1707,228,846,170,513,170,495,812,446,208,276,118,0,0,0
Belarus,BY,BLR,112,EUR,2017,1690,700,0,1690,700,649,468,1690,700,0,0,649,468,629,459,1117,413,464,583,343,1088,343,1
Belgium,BE,BEL,56,EUR,2017,465,42,98,426,39,2,2,426,39,27,4,2,2,1,2,3,2,0,1,0,3,0,0
Bhutan,BT,BTN,64,SEA,2017,402,47,0,376,9,50,3,376,9,68,4,50,3,47,3,8,8,0,0,0,8,0,0
Brazil,BR,BRA,76,AMR,2017,45341,9359,142,15367,3641,480,267,0,0,0,0,0,0,0,0,0,0,0,0,0,112,16,1
Cameroon,CM,CMR,120,AFR,2017,13448,378,0,3806,378,107,78,49,43,36,24,46,34,36,24,74,74,0,1,1,60,0,0
Canada,CA,CAN,124,AMR,2017,0,0,0,852,62,11,0,851,62,54,3,11,0,11,0,8,6,1,1,0,8,0,0
Chile,CL,CHL,152,AMR,2017,1910,118,0,1577,101,31,6,1577,101,40,3,31,6,18,1,37,36,0,1,0,19,0,0
China,CN,CHN,156,WPR,2017,212914,27873,0,89171,19099,7718,5351,89171,19099,9558,5335,7718,5351,5339,4248,0,0,0,0,0,0,0,0
"China, Hong Kong SAR",HK,HKG,344,WPR,2017,2285,194,7,2285,194,20,9,2285,194,132,22,20,9,14,8,29,25,1,3,0,22,0,0
"China, Macao SAR",MO,MAC,446,WPR,2017,241,25,14,234,25,1,0,234,25,14,3,1,0,1,0,1,1,0,0,0,1,0,0
Colombia,CO,COL,170,AMR,2017,8329,892,0,1776,259,126,71,1449,199,215,80,126,71,79,51,95,92,1,3,1,75,1,1
Czechia,CZ,CZE,203,EUR,2017,345,24,0,296,16,3,3,296,16,8,3,3,3,3,3,6,3,2,3,2,6,2,1
Denmark,DK,DNK,208,EUR,2017,159,16,0,155,16,1,0,155,16,3,0,1,0,1,0,1,1,0,0,0,1,0,0
Djibouti,DJ,DJI,262,EMR,2017,939,133,0,75,0,75,0,75,0,16,0,0,0,0,0,31,17,6,12,4,0,0,0
Egypt,EG,EGY,818,EMR,2017,3417,385,0,559,385,37,115,8,381,6,180,6,141,4,90,30,29,0,1,0,30,0,0
El Salvador,SV,SLV,222,AMR,2017,2735,295,0,1193,17,9,4,453,17,7,1,7,0,3,0,0,0,0,0,0,0,0,0
Finland,FI,FIN,246,EUR,2017,139,4,4,134,3,4,2,134,3,11,2,4,2,4,1,6,3,1,3,1,5,1,1
France,FR,FRA,250,EUR,2017,1361,176,1133,2630,237,48,33,2630,237,176,46,48,33,0,0,79,57,14,18,10,79,10,1
Germany,DE,DEU,276,EUR,2017,77,156,3115,67,103,6,20,67,99,13,25,6,20,6,17,19,11,5,3,0,17,0,0
Ghana,GH,GHA,288,AFR,2017,7924,862,2,7896,862,63,146,63,146,12,37,12,37,12,37,0,0,0,0,0,0,0,0
Greece,GR,GRC,300,EUR,2017,280,38,18,153,17,7,1,147,17,16,3,7,1,6,1,7,4,2,3,2,7,2,1
Honduras,HN,HND,340,AMR,2017,2003,202,0,1061,202,4,8,231,112,4,10,6,14,2,6,4,4,0,0,0,4,0,0
Hungary,HU,HUN,348,EUR,2017,318,36,0,287,28,9,4,284,28,21,5,9,4,7,4,12,6,5,5,4,10,4,1
